ProductID,Tier
354098,
354106,
354109,1.0
354114,
354119,
354122,
354315,
354320,
354323,
354331,
354397,
354592,
354594,
354595,
354596,
354601,
354609,
354614,
354620,
354625,
354633,
354640,
354643,
354646,
355166,
356388,
356721,
356731,
356794,
357012,
357089,
357094,
357095,
357096,
357356,
357545,
357546,
357548,
357943,
357944,
357945,
359347,1.0
359363,
359367,2.0
359368,
359373,
359375,3.0
359507,
359545,
359546,
359547,
359548,
359600,
359602,
359654,
359655,
359656,
359657,
359658,
359660,
359661,
359665,
359666,
359667,
359668,
359669,
359732,
361116,
362250,
362253,
362254,
362294,
362296,
362297,
363237,
363339,
363390,
364401,
364405,
364412,
364415,
364417,
364422,
364474,
364475,
364478,
364481,
364482,
364483,
364485,
365121,
365183,
365249,
365250,
365526,
365536,
367796,
367808,
367810,
367813,
367819,
367822,
367824,
369193,
369913,
370336,
370482,
370485,
370486,
370490,
370580,
370795,1.0
370861,
370900,
370988,
371030,1.0
371033,
371565,
372102,1.0
372103,
372105,2.0
372107,3.0
372108,
372110,
372111,
372112,
372114,1.0
372115,1.0
372116,
372117,
372118,
372119,
372121,
372124,
372239,1.0
372450,
372740,
372741,
372742,
372743,
372744,
372745,
372746,
372748,
372749,
372750,
372751,
372752,
372941,
3732,
373247,
373250,
373253,
373261,
373264,
373621,
374,
374146,
374229,
374604,
374608,
374609,
374610,
374613,
374614,
374615,
374617,
374618,
374622,
374625,
374627,
374628,
374630,
375817,
375897,1.0
375899,
375909,1.0
375911,2.0
375912,1.0
375915,2.0
377316,
377326,
377331,
377335,
377342,
377344,
377345,
377347,
377351,
377356,
377357,
377359,
377360,
377362,
377363,
377366,
377460,
377462,
377463,
377464,
377465,
377467,
377469,
377471,
377472,
377476,
377477,
377478,
377481,
377483,
377484,
377485,
377486,
377487,
377488,
377489,
377490,
377491,
377493,
377494,
377495,
377499,
377515,
377516,
377519,
377521,
377522,
377523,
377526,
377527,
377528,
377529,
377530,
377534,
377535,
377536,
377537,
377538,
377539,
377540,
377541,
377552,
377560,
377561,
377562,
377567,
377578,
377581,
377582,
377584,
377598,
377599,
377600,
377601,
377606,
377607,
377608,
377609,
377615,
377617,
377618,
377620,
377626,
377627,
377628,
377630,
377679,
377681,
377682,
